City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Ventura,110077,374,2,53,,124,195,3911,598,3042,260,11
Vernon3,115,28,1,1,,12,14,290,30,171,89,0
Victorville,123332,777,6,49,,229,493,4047,1095,2285,628,39
Villa Park,6002,1,0,0,,1,0,83,34,47,2,0
Visalia,130405,608,6,106,,130,366,4006,814,2621,560,11
Vista,99097,343,2,37,,95,209,1995,344,1328,317,6
Walnut,30469,31,1,1,,17,12,324,143,157,22,2
Walnut Creek,68530,91,1,2,,28,60,2544,342,1960,238,4
Waterford3,8800,13,0,0,,0,13,124,31,60,33,0
Watsonville,53581,303,4,33,,104,162,1934,254,1261,415,4
Weed,2836,31,1,3,,4,23,115,23,83,9,0
West Covina,109030,263,2,13,,99,149,2992,400,2095,487,10
West Hollywood,36256,280,2,19,,90,169,1411,209,1102,89,11
Westlake ,8522,6,0,2,,2,2,196,47,142,6,1
Westminster,92640,303,1,22,,118,162,2956,502,2123,325,6
Westmorland3,2278,5,0,0,,3,2,7,5,2,0,0
West Sacramento,52622,311,2,21,,90,198,1463,256,1030,171,6
Wheatland,3482,1,0,0,,0,1,59,14,34,11,0
Whittier,87807,238,1,18,,90,129,2542,319,1797,415,11
Wildomar,36154,39,0,7,,8,24,619,143,353,123,0
Williams3,5205,10,0,1,,2,7,74,14,43,13,4
Willits,4856,66,0,4,,2,60,66,15,34,15,2
Willows,6074,40,0,5,,4,31,192,24,148,18,2
Windsor,27565,85,0,9,,16,60,357,35,300,17,5
Winters,7023,24,0,2,,1,21,112,17,80,14,1
Woodlake3,7751,39,2,1,,3,33,136,32,87,15,2
Woodland,57911,265,1,16,,51,197,1813,326,1230,242,15
Yorba Linda,68698,39,0,7,,7,25,651,152,463,35,1
Yountville3,3030,7,0,0,,0,7,46,7,36,3,0
Yreka,7507,47,1,4,,4,38,310,85,188,36,1
Yuba City,65974,216,0,28,,66,122,1806,429,1160,203,14
Yucaipa,53498,94,2,8,,22,62,1321,263,838,208,12
Yucca Valley,21672,151,0,8,,30,113,672,217,381,66,8
