Index,id,propertyId,source,status,nightPriceÙ€native,nightPrice,weeklyPrice,monthlyPrice,cleaningFeeNative,numOfBaths,numOfRooms,occupancy,nightsBooked,rentalIncome,airbnbNeighborhoodId,name,address,airbnbNeighborhood,airbnbCity,state,capacityOfPeople,zip,propertyType,roomType,roomTypeCategory,amenities,reviewsCount,startRating,reviews,createdAt,updatedAt,numOfBeds,lat,lon,image,url,rental_income,neighborhood,nightRate,property_id,airbnbZIP
30,28612387,14506284,Airbnb,ACTIVE,125,140,0,0,140,2,2,37,137,1598,13176,LOS ANGELES SAN FDO. VALLEY/NORTH HILLS /VAN NUYS,"Los Angeles, CA, United States",Panorama City,Los Angeles,CA,6,91402,Condominium,Entire home/apt,entire_home,,16,5,,2021-01-30T09:25:39.000Z,2021-01-30T09:25:39.000Z,3,34.24095154,-118.4496689,https://a0.muscache.com/im/pictures/8bec616c-766f-44bb-bdb1-d6a8e26a3baa.jpg?aki_policy=medium,,1554,"{'id': 13176, 'name': 'Panorama City'}",140,14506284,91402
31,28612381,22229259,Airbnb,ACTIVE,95,149,0,0,179,1,2,41,149,1850,13176,Newly Remodeled 2BR Private,"Los Angeles, CA, United States",Panorama City,Los Angeles,CA,4,91402,House,Entire home/apt,entire_home,,30,5,,2021-01-30T09:25:38.000Z,2021-01-30T09:25:38.000Z,2,34.21590042,-118.4539566,https://a0.muscache.com/im/pictures/3b85adf8-dc2b-4c66-a835-bb2b9d5c6240.jpg?aki_policy=medium,,1832.7,"{'id': 13176, 'name': 'Panorama City'}",149,22229259,91402
32,28612400,27833696,Airbnb,ACTIVE,125,122,0,0,100,1,1,16,57,580,13176,Great 1 bed unit Los Angeles /San Fernando Valley,"Los Angeles, CA, United States",Panorama City,Los Angeles,CA,5,91402,Apartment,Entire home/apt,entire_home,,8,5,,2021-01-30T09:25:42.000Z,2021-01-30T09:25:42.000Z,2,34.2408905,-118.4512787,https://a0.muscache.com/im/pictures/fcb256c1-3fbc-4576-a191-f9e6ac7a3504.jpg?aki_policy=medium,,585.6,"{'id': 13176, 'name': 'Panorama City'}",122,27833696,91402
33,28612408,31023434,Airbnb,ACTIVE,125,175,0,0,140,2,2,10,35,510,13176,Great 2+2 in LA/SAN FDO. VALLEY CLOSE TO BURBANK,"Los Angeles, CA, United States",Panorama City,Los Angeles,CA,5,91402,Apartment,Entire home/apt,entire_home,,5,5,,2021-01-30T09:25:43.000Z,2021-01-30T09:25:43.000Z,2,34.24074173,-118.4517212,https://a0.muscache.com/im/pictures/e303671c-ffe0-4e24-ab08-f7dfc4aafa4c.jpg?aki_policy=medium,,525,"{'id': 13176, 'name': 'Panorama City'}",175,31023434,91402
34,28612911,11695191,Airbnb,ACTIVE,125,124,0,0,60,1,0,89,326,3369,13327,Beautiful private studio by LAX and the ocean,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,2,90045,Apartment,Entire home/apt,entire_home,,87,5,,2021-01-30T09:28:35.000Z,2021-01-30T09:28:35.000Z,2,33.95980072,-118.4058075,https://a0.muscache.com/im/pictures/06e8fa01-910f-4065-b924-e71b3b3c280d.jpg?aki_policy=medium,,3310.8,"{'id': 13327, 'name': 'Westchester/Playa Del Rey'}",124,11695191,90045
35,28612854,11988224,Airbnb,ACTIVE,189,194,0,0,60,2,3,82,299,4834,13327,The Bird House,"Culver City, CA, United States",Del Rey,Los Angeles,CA,8,90230,House,Entire home/apt,entire_home,,136,5,,2021-01-30T09:28:17.000Z,2021-01-30T09:28:17.000Z,5,33.98545074,-118.4129715,https://a0.muscache.com/im/pictures/70b090b3-8688-470c-b78f-42ab064a05a5.jpg?aki_policy=medium,,4772.4,"{'id': 13327, 'name': 'Del Rey'}",194,11988224,90230
36,28612902,12020409,Airbnb,ACTIVE,135,230,0,0,100,1,1,69,253,4849,13327,LUXURY Brand New Construction Guest House & Pool !,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,4,90045,House,Entire home/apt,entire_home,,343,5,,2021-01-30T09:28:31.000Z,2021-01-30T09:28:31.000Z,2,33.96950912,-118.4130936,https://a0.muscache.com/im/pictures/0f130cc0-f11e-45f8-b4d5-136e2b0eeae9.jpg?aki_policy=medium,,4761,"{'id': 13327, 'name': 'Westchester/Playa Del Rey'}",230,12020409,90045
37,28612937,12714566,Airbnb,ACTIVE,289,257,0,0,125,3,4,95,346,7410,13327,Modern Home With Roof Deck - reduced nightly rate,"Los Angeles, CA, United States",Del Rey,Los Angeles,CA,7,90230,House,Entire home/apt,entire_home,,226,5,,2021-01-30T09:28:42.000Z,2021-01-30T09:28:42.000Z,4,33.98925018,-118.4155197,https://a0.muscache.com/im/pictures/a4a72a98-8dde-456f-aee5-e1b56817d081.jpg?aki_policy=medium,,7324.5,"{'id': 13327, 'name': 'Del Rey'}",257,12714566,90230
38,28612894,16120760,Airbnb,ACTIVE,449,351,0,0,75,2.5,3,15,55,1609,13327,Luxurious House Close to the Beach,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,6,90094,House,Entire home/apt,entire_home,,10,5,,2021-01-30T09:28:28.000Z,2021-01-30T09:28:28.000Z,5,33.9739418,-118.4243011,https://a0.muscache.com/im/pictures/4c83b28a-99b1-4435-b8d1-03cc5f2f7333.jpg?aki_policy=medium,,1579.5,"{'id': 13327, 'name': 'Westchester/Playa Del Rey'}",351,16120760,90094
39,28613049,16569974,Airbnb,ACTIVE,140,140,0,0,75,1,1,0,0,0,13327,Artist style loft studio Del Rey / Culver City,"Los Angeles, CA, United States",Del Rey,Los Angeles,CA,2,90066,Guesthouse,Entire home/apt,entire_home,,4,5,,2021-01-30T09:29:18.000Z,2021-01-30T09:29:18.000Z,1,33.9897995,-118.4253464,https://a0.muscache.com/im/pictures/e750f68b-ace5-4aa9-95e0-354bf8456000.jpg?aki_policy=medium,,0,"{'id': 13327, 'name': 'Del Rey'}",140,16569974,90066
